Chữ_Nôm,Phiên_âm_Hán_Việt
𠀖,khạng
𠀗,khệnh
𠀧,ba
𠀨,cụp
𠀪,khà
𠀫,khề
𠀲,đứa
𠀳,rẻ
𠀴,trụt
𠀿,xuôi
𠁀,đời
𠁂,đứa
𠁄,luồn
𠁑,dưới
𠁔,sánh
𠁙,chả
𠁚,cúi
𠁝,gồm
𠁟,gồm
𠁪,nhắm
𠁵,giữa
𠁸,suốt
𠁹,giữa
𠁺,xuyên
𠁻,chuỗi
𠂎,ấy
𠂪,bèn
𠂫,bèn
𠃅,mái
𠃔,
𠃝,út
𠃣,ít
𠃩,chín
𠃯,ụt
𠃶,
𠃷,út
𠄀,vú
𠄜,thờ
𠄦,gộp
𠄧,vài
𠄩,hai
𠄯,bẩn
𠄳,kép
𠄶,nhăm
𠄺,giếng
𠄻,lăm
𠄼,năm
𠄽,vài
𠅍,mất
𠅎,mất
𠅐,mất
𠅒,mất
𠅙,
𠅜,lề
𠅳,quên
𠅻,quên
𠅼,mất
𠆍,sởn
𠆳,trùm
𠆿,
𠇆,
𠇍,với
𠇕,va
𠇖,bợm
𠇼,hùa
𠇽,tốp
𠈋,nhòng
𠈌,
𠉜,vãi
𠉝,nghĩ
𠉞,nay
𠉟,xiên
𠉠,trày
𠉪,
𠉱,phường
𠊙,nghè
𠊚,ngài
𠊛,người
𠊜,nhố
𠊝,thay
𠊡,vững
𠋥,mày
𠋦,mụ
𠌥,
𠌦,nập
𠌧,nạ
𠌨,phía
𠍁,
𠍣,bầy
𠍤,bụt
𠍥,bợm
𠍦,hèn
𠍭,gấp
𠎊,xúm
𠎨,cắp
𠎩,bay
𠎪,lũ
𠎫,chầu
𠎬,đấng
𠎴,vải
𠏟,bặm
𠏠,gã
𠏥,ngài
𠏦,đừng
𠏲,thợ
𠏳,giống
𠐅,nghè
𠐞,trỗi
𠐬,đòi
𠐸,dôi
𠑈,trộm
𠑉,thói
𠑋,lọng
𠑕,ngửa
𠑖,ngôi
𠑢,nghè
𠑬,nhau
𠒥,ràng
𠒦,rỡ
𠒬,vặc
𠒯,nhóc
𠒲,
𠒷,tin
𠓀,trước
𠓁,rạng
𠓅,vằng
𠓇,sáng
𠓎,
𠓏,
𠓐,quanh
𠓑,rõ
𠓔,mống
𠓨,vào
𠓩,nhúi
𠓬,lặn
𠓹,lọn
𠓺,vô
𠓻,trọn
𠓼,
𠔦,lính
𠔭,tám
𠔮,gồm
𠔳,
𠖈,xuống
𠖘,nắp
𠖝,liệng
𠖤,bay
𠖨,mồng
𠖭,lẻo
𠖯,ngắt
𠖰,dãy
𠖾,mát
𠖿,ròng
𠗣,lún
𠗤,váng
𠗰,trơn
𠗸,cóng
𠗹,rét
𠘃,đọng
𠙅,sập
𠙣,bẫy
𠙦,
𠙽,
𠚐,mọc
𠚢,ra
𠛌,châm
𠛣,đứt
𠛤,chém
𠛬,
𠜏,đẽo
𠜬,đẵn
𠜭,đâm
𠜮,húi
𠜯,cạo
𠝇,bào
𠝓,xẻ
𠝔,thái
𠝕,cùn
𠝖,tách
𠝗,đứt
𠝫,mẻ
𠝭,
𠝹,
𠝺,mổ
𠝻,chạm
𠝼,mổ
𠞛,thiến
𠞟,cạo
𠞠,chặt
𠞡,gọt
𠞢,băm
𠞳,
𠞸,đẽo
𠞹,dứt
𠞺,lần
𠟀,đẽo
𠟤,thiến
𠟥,hoắt
𠟲,vạc
𠟸,gặt
𠟹,rựa
𠠉,bửa
𠠊,cứng
𠠍,lê
𠠑,tét
𠠙,rìu
𠠚,xẻ
𠠩,trước
𠠭,chớm
𠡎,rán
𠡏,siêng
𠡚,gắng
𠡛,nhằn
𠡧,rặn
𠡺,khướt
𠢑,nhọc
𠢝,vâm
𠢞,giúp
𠢟,giúp
𠢬,lử
𠣂,rướn
𠣛,móc
𠣶,bịt
𠤆,chớ
𠤌,chớ
𠤧,thìa
𠤩,bẩy
𠥈,khám
𠥤,giấu
𠦄,
𠦩,mươi
𠦯,gắn
𠦳,nghìn
𠦹,chục
𠦺,rưỡi
𠦻,lưng
𠦿,xừng
𠧆,trọn
𠧌,nhẩy
𠧍,nhú
𠨞,
𠨡,trứng
𠨪,nghèo
𠩕,mé
𠪱,
𠪸,rạp
𠫅,dày
𠫆,dầy
𠫊,
𠫏,rột
𠫤,
𠫾,đi
𠬃,bỏ
𠬉,tránh
𠬒,cút
𠬕,bỏ
𠬖,bỏ
𠬠,một
𠭤,trở
𠮩,léo
𠮶,
𠯅,dức
𠯇,rỉ
𠯦,thét
𠯮,
𠯻,ào
𠯼,dành
𠯽,chửi
𠯾,tườu
𠯿,lóc
𠰀,diếu
𠰁,gáy
𠰂,ngoen
𠰃,nhảm
𠰌,mách
𠰙,khen
𠰭,méo
𠰲,
𠰳,phĩnh
𠱁,
𠱂,
𠱃,
𠱄,miệng
𠱅,quai
𠱆,dặng
𠱇,hoẹt
𠱈,thẻ
𠱉,rịn
𠱊,sẽ
𠱋,rồ
𠱌,nhại
𠱍,phớm
𠱶,vổ
𠱷,
𠱸,
𠲟,gạn
𠲠,thầu
𠲡,hão
𠲢,đáu
𠲣,huýt
𠲤,nhở
𠲥,lẽ
𠲦,nhung
𠲧,thức
𠲨,trề
𠳏,
𠳑,ực
𠳒,lời
𠳕,
𠳖,
𠳗,xác
𠳘,nhú
𠳙,thay
𠳚,cãi
𠳝,bựa
𠳨,hỏi
𠳺,lẩn
𠴉,ngoẻn
𠴊,rở
𠴋,phào
𠴌,nhanh
𠴍,nhắn
𠴎,óc
𠴏,màng
𠴐,núc
𠴑,nở
𠴒,rểnh
𠴓,đay
𠴔,chiềng
𠴕,diễu
