Ký_tự,Pinyin,Hán_Việt,Số_cách_đọc,Tất_cả_cách_đọc
㐀,qiū,~khâu,1,~khâu
㐁,tiàn,~thiến,1,~thiến
㐂,xǐ,hỷ,1,hỷ
㐄,kuà,khoa,1,khoa
㐅,wǔ,~câu,1,~câu
㐆,yǐn,~doãn,1,~doãn
㐌,yí,~di,1,~di
㐖,xié,~hài,1,~hài
㐜,chóu,~trù,1,~trù
㐡,nuò,~nhu,1,~nhu
㐤,dān,~đan,1,~đan
㐧,dì,đệ,1,đệ
㐨,xù,~tự,1,~tự
㐩,xíng,~hình,1,~hình
㐫,xiōng,hung,1,hung
㐬,liú,lưu,1,lưu
㐭,lǐn,lẫm,1,lẫm
㐮,xiāng,~hương,1,~hương
㐯,yōng,~dong,1,~dong
㐰,xìn,~tín,1,~tín
㐱,zhěn,chẩn,1,chẩn
㐲,dài,đại,1,đại
㐳,wù,~ngột,1,~ngột
㐴,pān,phàn,1,phàn
㐵,rú,~nho,1,~nho
㐷,mǎ,mạ,2,mạ / má
㐷,mà,má,2,mạ / má
㐸,qiàn,khiếm,1,khiếm
㐹,yì,~dật,2,~dật / ~hệ
㐹,xì,~hệ,2,~dật / ~hệ
㐺,yín,~ngân,1,~ngân
㐻,nèi,nại,1,nại
㐼,chèng,~xứng,1,~xứng
㐽,fēng,phong,1,phong
㑁,zhuō,~xấc,1,~xấc
㑂,fǎng,~phỏng,1,~phỏng
㑃,ǎo,~áo,1,~áo
㑄,wǔ,vũ,1,vũ
㑅,zuò,trách,1,trách
㑇,zhòu,~sậu,1,~sậu
㑈,dōng,đông,1,đông
㑉,sù,~túc,1,~túc
㑊,yì,~dật,1,~dật
㑋,qióng,~cung,1,~cung
㑌,kuāng,~khuông,1,~khuông
㑍,lèi,~lệ,1,~lệ
㑎,nǎo,~não,1,~não
㑏,zhù,trữ,1,trữ
㑐,shū,túc,1,túc
㑔,xǔ,thuỷ,1,thuỷ
㑗,shēn,~thân,1,~thân
㑘,jiè,giới,1,giới
㑙,dié,~điệp,1,~điệp
㑚,nuó,~na,1,~na
㑛,sù,~túc,1,~túc
㑜,yì,~dật,1,~dật
㑝,lòng,~lỏng,1,~lỏng
㑞,yìng,~ánh,1,~ánh
㑟,běng,~bổng,1,~bổng
㑣,lán,~lam,1,~lam
㑤,miáo,~miêu,1,~miêu
㑥,yì,~dật,1,~dật
㑦,lì,~lệ,1,~lệ
㑧,jì,~kệ,1,~kệ
㑨,yǔ,~ủ,1,~ủ
㑩,luó,la,1,la
㑪,chái,sài,1,sài
㑫,niàn,niệm,2,niệm / nộm
㑫,niàn,nộm,2,niệm / nộm
㑮,hún,~hồn,1,~hồn
㑯,xǔ,thuỷ,1,thuỷ
㑰,huì,~hội,1,~hội
㑱,rǎo,~nhiễu,1,~nhiễu
㑳,zhòu,~sậu,1,~sậu
㑴,qīn,xâm,1,xâm
㑵,hàn,~hán,1,~hán
㑶,xì,~hệ,1,~hệ
㑷,tài,thái,1,thái
㑹,huì,~hội,1,~hội
㑺,jùn,tuấn,1,tuấn
㑻,mà,~mạ,1,~mạ
㑼,lüè,lược,1,lược
㑽,táng,đường,1,đường
㑾,yáo,~dao,1,~dao
㑿,zhào,~triệu,1,~triệu
㒀,zhāi,~trai,1,~trai
㒁,yǔ,~ủ,1,~ủ
㒂,zhuó,~trác,1,~trác
㒃,èr,~nhị,1,~nhị
㒄,rǎn,~nhiễm,1,~nhiễm
㒅,qǐ,khải,1,khải
㒆,chì,~sế,1,~sế
㒇,wǔ,vũ,1,vũ
㒈,hàn,~hán,1,~hán
㒉,tǎng,~thẳng,1,~thẳng
㒊,sè,~sắc,1,~sắc
㒋,sī,~tư,1,~tư
㒌,qióng,~cung,1,~cung
㒍,léi,~luy,1,~luy
㒎,sà,~sát,1,~sát
㒑,kuǐ,~khuể,1,~khuể
㒒,pú,bộc,1,bộc
㒓,tà,thát,1,thát
㒔,shú,thục,1,thục
㒕,yāng,~ương,1,~ương
㒖,ǒu,~ngẫu,1,~ngẫu
㒗,tái,~đài,1,~đài
㒙,mián,miên,1,miên
㒚,yìn,ùn,1,ùn
㒛,diào,~điếu,1,~điếu
㒜,yǔ,~ủ,1,~ủ
㒝,miè,~miệt,1,~miệt
㒞,jùn,~tuấn,1,~tuấn
㒟,niǎo,~điểu,1,~điểu
㒠,xiè,~tiết,1,~tiết
㒡,yóu,~du,1,~du
㒤,chè,~triệt,1,~triệt
㒥,fēng,phong,1,phong
㒦,lěi,~lỗi,1,~lỗi
㒧,lì,lệ,1,lệ
㒨,xiān,tiên,1,tiên
㒩,luǒ,~khỏa,1,~khỏa
㒪,xī,thiếc,1,thiếc
㒫,jì,~ký,1,~ký
㒭,kūn,kôn,1,kôn
㒰,quán,~toàn,1,~toàn
㒲,cái,tài,1,tài
㒳,liǎng,lưỡng,1,lưỡng
㒴,gǔ,cốt,1,cốt
㒵,mào,~mạo,1,~mạo
㒶,gōng,cung,1,cung
㒷,guǎ,~quả,1,~quả
㒸,suì,toại,1,toại
㒹,diān,điên,1,điên
㒺,wǎng,~võng,1,~võng
㒻,mào,~mạo,1,~mạo
㒼,mán,môn,1,môn
㒽,quān,huyên,1,huyên
㒾,shì,~thị,1,~thị
㒿,lí,~li,1,~li
㓁,wǎng,~võng,1,~võng
㓂,kòu,~khấu,1,~khấu
㓃,dù,đố,1,đố
㓄,zhèn,~trẫm,1,~trẫm
㓅,tīng,~thính,1,~thính
㓈,bìng,~tinh,1,~tinh
㓉,huò,hoạt,1,hoạt
㓊,dòng,~đông,1,~đông
㓋,gòng,cộng,1,cộng
㓌,chēng,~xưng,1,~xưng
㓎,qīn,~khâm,1,~khâm
㓏,jiǒng,quýnh,1,quýnh
㓐,lù,lục,1,lục
㓑,xìng,~hành,1,~hành
㓓,nán,~nam,1,~nam
㓔,xiè,tạ,1,tạ
㓖,bì,~tất,1,~tất
㓗,jié,~cát,1,~cát
㓘,sù,túc,1,túc
㓙,xiōng,hung,1,hung
㓚,gōng,cung,1,cung
㓛,gōng,cung,1,cung
㓜,yòu,~dứu,1,~dứu
㓝,xíng,~hình,1,~hình
㓞,qià,~kháp,1,~kháp
㓟,pí,phay,1,phay
㓠,diàn,chẻm,1,chẻm
㓡,fǔ,~phủ,1,~phủ
㓢,luò,~lạc,1,~lạc
㓣,qià,~kháp,1,~kháp
㓤,qià,~kháp,1,~kháp
㓥,tāng,thang,1,thang
㓦,bāi,~bẻ,1,~bẻ
㓧,gān,~can,1,~can
㓨,cí,thích,1,thích
㓩,xuān,huyên,1,huyên
㓪,lǎng,lãng,1,lãng
㓬,què,khước,1,khước
㓭,shé,hạt,1,hạt
㓮,diāo,điêu,1,điêu
㓯,lí,~ly,1,~ly
㓰,huà,~vạch,1,~vạch
㓱,tóu,~đầu,1,~đầu
㓲,piān,~thiên,1,~thiên
㓳,dī,~đây,1,~đây
㓴,ruǎn,~nhuyễn,1,~nhuyễn
㓵,è,ngạc,1,ngạc
㓶,qiè,khía,1,khía
㓷,yì,~nhị,1,~nhị
㓸,zhuō,~trác,1,~trác
㓹,ruì,~nhuế,1,~nhuế
㓺,jiān,kiền,1,kiền
㓻,gāng,cương,1,cương
㓼,chì,thất,1,thất
㓽,chóng,sùng,1,sùng
㓾,xī,~tây,1,~tây
㔀,lüè,~lược,1,~lược
㔁,dēng,~đăng,1,~đăng
㔂,lín,lân,1,lân
㔃,jué,~khoét,1,~khoét
㔄,sù,túc,1,túc
㔅,xiào,khiếu,1,khiếu
㔆,zàn,~tán,1,~tán
㔇,bō,bát,1,bát
㔉,zhǔ,~chúc,1,~chúc
㔊,zhǎn,~triển,1,~triển
㔋,jiān,~kiền,1,~kiền
㔌,zòu,~tấu,1,~tấu
㔍,chuā,~sái,1,~sái
㔎,xiè,tiết,1,tiết
㔏,lì,lịch,1,lịch
㔐,xiān,tiêm,1,tiêm
㔑,chì,thất,1,thất
㔒,xí,~tập,1,~tập
