Phồn_thể,Giản_thể,Pinyin,Phiên_âm_Hán_Việt,Số_âm_HV,Tần_suất_rank
的,的,de,đích / để,2,1
了,了,le,liễu,1,2
是,是,shì,thị,1,3
在,在,zài,tại,1,4
和,和,hé,hòa / hoà / hoạ / họa / hồ / ù,6,5
有,有,yǒu,hữu / dựu,2,6
他,他,tā,tha,1,7
不,不,bù,bất / phi / phủ / phầu,4,8
我,我,wǒ,ngã,1,9
人,人,rén,nhân,1,10
也,也,yě,dã,1,11
为,为,wèi,~vay,1,12
就,就,jiù,tựu,1,13
這,这,zhè,giá / nghiện,2,14
这,这,zhè,giá,1,14
上,上,shàng,thượng / thướng,2,15
年,年,nián,niên / nên,2,16
中,中,zhōng,trung / trúng,2,17
你,你,nǐ,nễ / nể,2,18
説,说,shuō,thuyết,1,19
說,说,shuō,thuyết / thuế / duyệt,3,19
说,说,shuō,thuyết,1,19
一,一,yī,nhất,1,20
到,到,dào,đáo,1,21
都,都,dōu / dū,đô,1,22
等,等,děng,đẳng,1,23
着,着,zhe,khán,1,24
對,对,duì,đối / đỗi,2,25
对,对,duì,đối,1,25
来,来,lái,lai,1,26
與,与,yǔ,dữ / dự / dư,3,27
与,与,yǔ,dữ,1,27
地,地,de / dì,địa,1,28
還,还,hái,hoàn / toàn,2,29
还,还,hái,hoàn,1,29
要,要,yào,yếu / yêu,2,30
又,又,yòu,lại / hựu,2,31
大,大,dà,đại / thái,2,32
而,而,ér,nhi,1,33
之,之,zhī,chi,1,34
道,道,dào,đạo / đáo,2,35
以,以,yǐ,dĩ,1,36
得,得,dé,đắc,1,37
她,她,tā,tha,1,38
箇,个,gè,cá,1,39
个,个,gè,cá,1,39
后,后,hòu,hậu,1,40
去,去,qù,khứ / khu / khử,3,41
將,将,jiāng,tướng / tương / thương,3,42
将,将,jiāng,chương,1,42
那,那,nà,na / nả,2,43
但,但,dàn,đãn,1,44
从,从,cóng,tòng / tùng,2,45
從,从,cóng,tòng / tùng / tụng / thung / tung / túng,6,45
月,月,yuè,nguyệt,1,46
下,下,xià,hạ / há,2,47
把,把,bǎ,bả / bã,2,48
被,被,bèi,bị / bí,2,49
于,于,yú,vu / hu / ư,3,50
時,时,shí,thời / thì,2,51
时,时,shí,thì,1,51
只,只,zhǐ,chỉ,1,52
隻,只,zhī,chích / chiếc,2,52
多,多,duō,đa,1,53
過,过,guò,qua / quá,2,54
过,过,guò,quá,1,54
可,可,kě,khả / khắc,2,55
並,并,bìng,tịnh / tính,2,56
并,并,bìng,tinh,1,56
能,能,néng,năng / nại / nai,3,57
好,好,hǎo,hảo / hiếu / háo,3,58
會,会,huì,hội / cối,2,59
会,会,huì,hội,1,59
出,出,chū,xuất / xúy,2,60
齣,出,chū,xuất / xích,2,60
或,或,huò,hoặc,1,61
日,日,rì,nhật,1,62
由,由,yóu,do,1,63
里,里,lǐ,lý / lịa,2,64
裡,里,lǐ,lý / lịa,2,64
用,用,yòng,dụng,1,65
所,所,suǒ,sở / sỡ,2,66
向,向,xiàng,hướng,1,67
曏,向,xiǎng,hướng,1,67
已,已,yǐ,dĩ,1,68
其,其,qí,kỳ / kì / ký / ki,4,69
給,给,gěi,cấp,1,70
给,给,gěi,~cấp,1,70
很,很,hěn,ngận,1,71
看,看,kàn,khán / khen / khản / khan / khăn / khớn,6,72
使,使,shǐ,sứ / sử,2,73
前,前,qián,tiền,1,74
新,新,xīn,tân,1,75
想,想,xiǎng,tưởng,1,76
却,却,què,khước,1,77
它,它,tā,tha / xà,2,78
最,最,zuì,tối,1,79
見,见,jiàn,kiến / hiện,2,80
见,见,jiàn,kiến,1,80
起,起,qǐ,khởi,1,81
小,小,xiǎo,tiểu,1,82
高,高,gāo,cao,1,83
更,更,gèng,càng / canh / cánh / ngạnh / cành,5,84
如,如,rú,như,1,85
再,再,zài,tái,1,86
才,才,cái,tài,1,87
便,便,biàn,tiện,1,88
沒,没,méi,một / mốt,2,89
没,没,méi,~mốt,1,89
走,走,zǒu,tẩu,1,90
做,做,zuò,tố,1,91
讓,让,ràng,nhượng / nhường,2,92
让,让,ràng,dạng,1,92
内,内,nèi,nội,1,93
及,及,jí,cập,1,94
听,听,tīng,thính / dẫn,2,95
聽,听,tīng,thính,1,95
成,成,chéng,thành,1,96
各,各,gè,các,1,97
事,事,shì,sự,1,98
號,号,hào,hào / hiệu / gào,3,99
号,号,hào,hiệu,1,99
至,至,zhì,chí,1,100
叫,叫,jiào,khiếu,1,101
两,两,liǎng,lạng,1,102
當,当,dāng,đương / đáng / đang,3,103
当,当,dāng,đang,1,103
三,三,sān,tam / tám,2,104
本,本,běn,bản / bổn,2,105
無,无,wú,vô / mô,2,106
